Table 8,,,,,,,,,,,
NEW JERSEY,,,,,,,,,,,
Offenses Known to Law Enforcement,,,, ,,,,,,,
"by City, 2013",,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Aberdeen Township,18150,19,0,0,13,6,237,42,185,10,0
Absecon,8380,21,0,2,4,15,266,91,169,6,0
Allendale,6712,0,0,0,0,0,37,6,29,2,0
Allenhurst,493,0,0,0,0,0,39,20,18,1,0
Allentown,1812,3,0,0,0,3,18,12,6,0,0
Alpha,2314,1,0,0,0,1,31,15,15,1,1
Alpine,1958,0,0,0,0,0,10,6,2,2,0
Andover Township,6273,1,0,0,0,1,33,10,23,0,0
Asbury Park,15779,264,6,9,126,123,842,196,616,30,3
Atlantic City,39482,685,3,9,367,306,2475,393,2011,71,2
Atlantic Highlands,4352,0,0,0,0,0,77,18,58,1,0
Audubon,8788,10,0,0,9,1,395,34,359,2,0
Audubon Park,1020,0,0,0,0,0,31,5,25,1,0
Avalon,1309,2,0,0,0,2,227,30,197,0,0
Avon-by-the-Sea,1916,1,0,0,0,1,70,37,33,0,0
Barnegat Light,578,2,0,1,0,1,6,3,3,0,0
Barnegat Township,21544,17,0,2,4,11,201,61,135,5,1
Barrington,6880,3,0,2,0,1,72,26,36,10,0
Bay Head,987,0,0,0,0,0,36,5,28,3,0
Bayonne,64950,138,0,0,50,88,828,142,599,87,1
Beach Haven,1178,0,0,0,0,0,117,12,103,2,0
Beachwood,11110,7,1,0,1,5,188,21,164,3,0
Bedminster Township,8213,1,0,0,0,1,46,9,33,4,0
Belleville,36229,112,0,1,62,49,839,152,523,164,3
Bellmawr,11554,16,0,0,9,7,244,57,174,13,0
Belmar,5735,8,0,3,1,4,249,51,195,3,0
Belvidere,2619,2,0,0,0,2,30,10,19,1,1
Bergenfield,27125,16,0,0,6,10,105,16,87,2,0
Berkeley Heights Township,13452,1,0,0,0,1,89,9,77,3,0
Berlin,7623,14,1,0,1,12,151,24,123,4,0
Berlin Township,5449,5,0,0,1,4,209,37,168,4,9
Bernards Township,26880,2,0,1,1,0,120,33,83,4,0
